,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
9129,0.1971681674,_A,2013,52,2,BG,0.0,1,9,3,2,12,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,000-OWN COUNTRY,2011.0,6.0,1,1,9.0,40.0,40.0,,,97,1,50.0,1,1,9,99.0,9,9999,99.0,9,9,6.0,3,0,1,1,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,1,500.0,999.0,9,0,M,30.0,,F,9,9,02,9,9,9,9
9137,0.2103807302,_A,2013,1,2,BG,0.0,1,9,3,2,1,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,6.0,5,4,6.0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,9,2,999,3,999.0,300.0,9,0,H,999.0,4.0,9,9,H,02,9,9,9,H
9154,0.2913381738,_A,2013,15,16,BG,0.0,1,9,3,2,4,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2013,1.0,5,4,2.0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,1,0,H,999.0,3.0,9,9,G,02,9,9,9,G
9158,0.1235326186,_A,2013,6,7,BG,0.0,1,9,3,2,2,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,1997,99.0,9,4,3.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,8.0,9,9,9,02,9,9,9,9
9167,0.4409576188,_A,2013,18,19,BG,0.0,1,9,3,2,5,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,10.0,5,4,3.0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,2,0,M,999.0,6.0,9,9,A,02,9,9,9,A
9178,0.2694335523,_A,2013,39,41,BG,0.0,1,9,3,2,9,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,6.0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,3,0,M,999.0,7.0,9,9,H,04,9,9,9,H
9187,0.1725419795,_A,2013,7,8,BG,3.0,1,9,3,2,2,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,3.0,5,4,3.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,6.0,9,9,N,02,9,9,9,H
9198,0.2029168973,_A,2013,4,5,BG,3.0,1,9,3,2,1,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,6.0,5,4,2.0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,L,999.0,6.0,9,9,H,03,9,9,9,H
9218,0.2053607474,_A,2013,4,5,BG,0.0,1,9,3,2,1,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,1999,99.0,9,4,2.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,6+,9,9,9,9
9227,0.44844327,_A,2013,9,11,BG,0.0,1,9,3,2,2,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2009,99.0,5,4,6.0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,200.0,3,0,H,999.0,8.0,9,9,S,04,9,9,9,H
9244,0.162646693,_A,2013,37,38,BG,3.0,1,9,3,2,9,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,12.0,5,4,6.0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,3,0,L,999.0,6.0,9,9,F,02,9,9,9,F
9247,0.2645576047,_A,2013,42,43,BG,0.0,1,9,3,2,10,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2007,99.0,5,4,3.0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,M,999.0,8.0,9,9,H,02,9,9,9,H
9251,0.2742860126,_A,2013,51,52,BG,3.0,1,9,3,2,12,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2002,99.0,9,4,6.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,8.0,9,9,9,01,9,9,9,9
9272,0.1700643269,_A,2013,47,48,BG,3.0,1,9,3,2,11,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2013,9.0,5,4,3.0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,9,1,2,9,2,999,2,999.0,900.0,1,0,M,999.0,2.0,9,9,I,03,9,9,9,H
9317,0.2860923492,_A,2013,42,43,BG,0.0,1,9,3,2,10,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,6.0,5,4,2.0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,5.0,9,9,I,03,9,9,9,H
9318,0.1930862834,_A,2013,18,19,BG,3.0,1,9,3,2,5,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2003,99.0,9,4,6.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,8.0,9,9,9,6+,9,9,9,9
9351,0.1729561967,_A,2013,47,48,BG,3.0,1,9,3,2,11,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,9.0,5,4,3.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,L,999.0,5.0,9,9,F,04,9,9,9,F
9358,0.2016099089,_A,2013,12,13,BG,0.0,1,9,3,2,3,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,1.0,5,4,6.0,3,0,1,1,1,1,1,1,0,0,1,0,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,M,999.0,7.0,9,9,F,02,9,9,9,F
9390,0.2502312194,_A,2013,1,4,BG,3.0,1,9,3,2,1,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,11.0,5,4,6.0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,9,1,2,9,2,999,2,999.0,900.0,1,0,M,999.0,2.0,9,9,F,03,9,9,9,F
9402,0.4216993465,_A,2013,20,21,BG,3.0,1,9,3,2,5,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,3.0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,,9,9,9,6+,9,9,9,9
9414,0.1855957307,_A,2013,32,33,BG,,1,9,3,2,8,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2004,99.0,9,4,2.0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,H,999.0,8.0,9,9,9,03,9,9,9,9
9437,0.1561774747,_A,2013,28,29,BG,3.0,1,9,3,2,7,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,L,999.0,7.0,9,9,A,01,9,9,9,A
9440,0.1655463353,_A,2013,49,50,BG,3.0,1,9,3,2,12,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,12.0,5,4,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,H,999.0,7.0,9,9,G,,9,9,9,G
9445,0.4531003461,_A,2013,6,7,BG,0.0,1,9,3,2,2,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2006,99.0,5,4,2.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,0.0,3,0,M,999.0,8.0,9,9,O,03,9,9,9,H
9461,0.4450927497,_A,2013,24,25,BG,0.0,1,9,3,2,6,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,3.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,300.0,3,0,M,999.0,7.0,9,9,M,03,9,9,9,H
9467,0.2124523052,_A,2013,36,37,BG,0.0,1,9,3,2,9,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2008,99.0,5,4,2.0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,300.0,3,0,M,999.0,8.0,9,9,C,02,9,9,9,B
9470,0.1419359029,_A,2013,10,11,BG,3.0,1,9,3,2,3,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,2.0,5,4,6.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,2,0,M,999.0,5.0,9,9,O,04,9,9,9,H
9482,0.277882546,_A,2013,42,43,BG,0.0,1,9,3,2,10,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,7.0,5,4,3.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,9,2,999,3,999.0,500.0,9,0,L,999.0,7.0,9,9,I,03,9,9,9,H
9501,0.2373565894,_A,2013,4,5,BG,0.0,1,9,3,2,1,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2001,99.0,9,4,2.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,6+,9,9,9,9
9504,0.1971707614,_A,2013,22,23,BG,3.0,1,9,3,2,5,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,3.0,5,4,3.0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,L,999.0,5.0,9,9,N,01,9,9,9,H
9506,0.1347612616,_A,2013,47,48,BG,3.0,1,9,3,2,11,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2013,9.0,5,4,6.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,1,0,L,999.0,2.0,9,9,A,02,9,9,9,A
9585,0.206738762,_A,2013,8,9,BG,0.0,1,9,3,2,2,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,10.0,5,4,3.0,3,1,1,1,1,1,1,1,1,0,0,0,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,M,999.0,5.0,9,9,C,04,9,9,9,B
9593,0.3012448356,_A,2013,46,47,BG,0.0,1,9,3,2,11,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,2.0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,,9,9,9,04,9,9,9,9
9626,0.3193561598,_A,2013,29,30,BG,0.0,1,9,3,2,7,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,3.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,1,0,M,999.0,7.0,9,9,G,03,9,9,9,G
9630,0.1256433372,_A,2013,6,7,BG,3.0,1,9,3,2,2,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2006,99.0,5,4,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,8.0,9,9,C,02,9,9,9,B
9636,0.414445269,_A,2013,2,3,BG,0.0,1,9,3,2,1,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2004,99.0,9,4,2.0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,03,9,9,9,9
9701,0.2728724856,_A,2013,13,14,BG,0.0,1,9,3,2,3,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2008,99.0,5,4,3.0,3,0,1,1,1,1,0,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,M,999.0,8.0,9,9,G,02,9,9,9,G
9714,0.3141075083,_A,2013,24,25,BG,0.0,1,9,3,2,6,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,3.0,5,4,2.0,3,1,0,0,1,0,1,0,0,0,0,1,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,M,999.0,5.0,9,9,F,04,9,9,9,F
9723,0.1506853904,_A,2013,35,36,BG,3.0,1,9,3,2,8,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,,5,4,2.0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,3,0,M,999.0,6.0,9,9,B,03,9,9,9,B
9730,0.3270552015,_A,2013,28,29,BG,0.0,1,9,3,2,7,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2002,99.0,9,4,6.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,8.0,9,9,9,04,9,9,9,9
9740,0.1177599987,_A,2013,30,31,BG,3.0,1,9,3,2,7,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2012.0,7.0,1,2,4.0,40.0,40.0,,,97,0,40.0,1,1,9,99.0,9,9999,99.0,9,9,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,2,9,2,999,1,700.0,999.0,9,0,L,12.0,,H,9,9,02,9,9,9,9
9741,0.4311444671,_A,2013,36,37,BG,0.0,1,9,3,2,9,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,10.0,5,4,6.0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9,1,3,5,2,999,2,999.0,400.0,3,1,H,999.0,6.0,9,9,M,02,9,9,9,H
9748,0.4026599939,_A,2013,25,26,BG,3.0,1,9,3,2,6,2013,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,6.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,,9,9,9,6+,9,9,9,9
9758,0.3592996524,_A,2013,26,27,BG,0.0,1,9,3,2,6,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,2.0,3,1,0,1,1,1,1,0,0,0,1,0,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,M,999.0,7.0,9,9,F,6+,9,9,9,F
9771,0.1650588368,_A,2013,4,5,BG,3.0,1,9,3,2,1,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2001,99.0,9,4,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,8.0,9,9,9,01,9,9,9,9
9772,0.3218362288,_A,2013,22,23,BG,3.0,1,9,3,2,5,2013,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,2,0,M,999.0,,9,9,9,6+,9,9,9,9
9806,0.2430771822,_A,2013,24,25,BG,0.0,1,9,3,2,6,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,5.0,5,4,6.0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,M,999.0,5.0,9,9,A,05,9,9,9,A
9810,0.1989912232,_A,2013,13,14,BG,0.0,1,9,3,2,3,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,6.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,9,2,999,3,999.0,500.0,9,0,M,999.0,7.0,9,9,N,03,9,9,9,H
9822,0.2558638299,_A,2013,10,11,BG,0.0,1,9,3,2,3,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2007,99.0,5,4,6.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,8.0,9,9,C,04,9,9,9,B
9825,0.4465067963,_A,2013,10,11,BG,0.0,1,9,3,2,3,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2013,2.0,5,4,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,2,9,2,999,3,999.0,500.0,9,0,M,999.0,2.0,9,9,G,04,9,9,9,G
9850,0.313998717,_A,2013,40,41,BG,0.0,1,9,3,2,10,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,1,0,M,999.0,,9,9,9,03,9,9,9,9
9856,0.1768621678,_A,2013,36,37,BG,0.0,1,9,3,2,9,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2005,99.0,9,4,6.0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,04,9,9,9,9
9869,0.2577576058,_A,2013,8,9,BG,3.0,1,9,3,2,2,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2009,99.0,5,4,3.0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,M,999.0,8.0,9,9,R,04,9,9,9,H
9880,0.2513586342,_A,2013,5,6,BG,0.0,1,9,3,2,1,2013,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,6.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,9,1,1,5,2,999,2,999.0,999.0,2,1,M,999.0,,9,9,9,04,9,9,9,9
9882,0.1558766668,_A,2013,47,48,BG,0.0,1,9,3,2,11,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,6.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,L,999.0,7.0,9,9,C,02,9,9,9,B
